gemini | cot | jee_chemistry => Accuracy: 76.32%, Precision: 100.00%, Recall: 100.00%, TP: 87, FP: 0, FN: 0, TN: 27
together | few-shot | neet_hindi_biology => Accuracy: 67.74%, Precision: 100.00%, Recall: 100.00%, TP: 63, FP: 0, FN: 0, TN: 30
together | few-shot | neet_hindi_chemistry => Accuracy: 60.00%, Precision: 100.00%, Recall: 100.00%, TP: 30, FP: 0, FN: 0, TN: 20
together | few-shot | neet_hindi_physics => Accuracy: 48.78%, Precision: 100.00%, Recall: 100.00%, TP: 20, FP: 0, FN: 0, TN: 21
together | few-shot | neet_physics => Accuracy: 52.38%, Precision: 100.00%, Recall: 100.00%, TP: 22, FP: 0, FN: 0, TN: 20
together | few-shot | upsc => Accuracy: 69.00%, Precision: 100.00%, Recall: 100.00%, TP: 69, FP: 0, FN: 0, TN: 31
together | few-shot | upsc_hindi => Accuracy: 60.47%, Precision: 100.00%, Recall: 100.00%, TP: 52, FP: 0, FN: 0, TN: 34
together | zero-shot | jee_chemistry => Accuracy: 70.18%, Precision: 100.00%, Recall: 100.00%, TP: 80, FP: 0, FN: 0, TN: 34
together | zero-shot | jee_hindi_chemistry => Accuracy: 54.39%, Precision: 100.00%, Recall: 100.00%, TP: 62, FP: 0, FN: 0, TN: 52
together | zero-shot | jee_hindi_physics => Accuracy: 57.80%, Precision: 100.00%, Recall: 100.00%, TP: 63, FP: 0, FN: 0, TN: 46
together | zero-shot | jee_physics => Accuracy: 61.11%, Precision: 100.00%, Recall: 100.00%, TP: 66, FP: 0, FN: 0, TN: 42
together | zero-shot | neet_biology => Accuracy: 86.02%, Precision: 100.00%, Recall: 100.00%, TP: 80, FP: 0, FN: 0, TN: 13
together | zero-shot | neet_chemistry => Accuracy: 70.00%, Precision: 100.00%, Recall: 100.00%, TP: 35, FP: 0, FN: 0, TN: 15
together | zero-shot | neet_hindi_biology => Accuracy: 68.82%, Precision: 100.00%, Recall: 100.00%, TP: 64, FP: 0, FN: 0, TN: 29
together | zero-shot | neet_hindi_chemistry => Accuracy: 70.00%, Precision: 100.00%, Recall: 100.00%, TP: 35, FP: 0, FN: 0, TN: 15
together | zero-shot | neet_hindi_physics => Accuracy: 58.54%, Precision: 100.00%, Recall: 100.00%, TP: 24, FP: 0, FN: 0, TN: 17
together | zero-shot | neet_physics => Accuracy: 71.43%, Precision: 100.00%, Recall: 100.00%, TP: 30, FP: 0, FN: 0, TN: 12
together | zero-shot | upsc => Accuracy: 67.00%, Precision: 100.00%, Recall: 100.00%, TP: 67, FP: 0, FN: 0, TN: 33
together | zero-shot | upsc_hindi => Accuracy: 39.53%, Precision: 100.00%, Recall: 100.00%, TP: 34, FP: 0, FN: 0, TN: 52
