Model,Prompt Type,Dataset,Accuracy,Precision,Recall,TP,FP,FN,TN
together,cot,upsc,80.00,100.00,100.00,80,0,0,20
together,cot,upsc_hindi,68.60,100.00,100.00,59,0,0,27
together,few-shot,jee_chemistry,55.26,100.00,100.00,63,0,0,51
together,few-shot,jee_hindi_chemistry,42.98,100.00,100.00,49,0,0,65
together,few-shot,jee_hindi_physics,43.12,100.00,100.00,47,0,0,62
together,few-shot,jee_physics,48.15,100.00,100.00,52,0,0,56
together,few-shot,lsat_lr,34.00,0.00,0.00,0,51,0,99
together,few-shot,neet_biology,79.57,100.00,100.00,74,0,0,19
together,few-shot,neet_chemistry,66.00,100.00,100.00,33,0,0,17
together,few-shot,neet_hindi_biology,67.74,100.00,100.00,63,0,0,30
together,few-shot,neet_hindi_chemistry,60.00,100.00,100.00,30,0,0,20
together,few-shot,neet_hindi_physics,48.78,100.00,100.00,20,0,0,21
together,few-shot,neet_physics,52.38,100.00,100.00,22,0,0,20
together,few-shot,upsc,69.00,100.00,100.00,69,0,0,31
together,few-shot,upsc_hindi,60.47,100.00,100.00,52,0,0,34
together,zero-shot,jee_chemistry,70.18,100.00,100.00,80,0,0,34
together,zero-shot,jee_hindi_chemistry,54.39,100.00,100.00,62,0,0,52
together,zero-shot,jee_hindi_physics,57.80,100.00,100.00,63,0,0,46
together,zero-shot,jee_physics,61.11,100.00,100.00,66,0,0,42
together,zero-shot,neet_biology,86.02,100.00,100.00,80,0,0,13
together,zero-shot,neet_chemistry,70.00,100.00,100.00,35,0,0,15
together,zero-shot,neet_hindi_biology,68.82,100.00,100.00,64,0,0,29
together,zero-shot,neet_hindi_chemistry,70.00,100.00,100.00,35,0,0,15
together,zero-shot,neet_hindi_physics,58.54,100.00,100.00,24,0,0,17
together,zero-shot,neet_physics,71.43,100.00,100.00,30,0,0,12
together,zero-shot,upsc,67.00,100.00,100.00,67,0,0,33
together,zero-shot,upsc_hindi,39.53,100.00,100.00,34,0,0,52
